e,eLabel,start,end,sprec,kindLabel,sitelinks,whereLabel
http://www.wikidata.org/entity/Q1511519,Catacomb culture,-2499-01-01T00:00:00Z,-1999-01-01T00:00:00Z,9,archaeological culture,24,
http://www.wikidata.org/entity/Q429981,Tenth Dynasty of Egypt,-2049-01-01T00:00:00Z,-1999-01-01T00:00:00Z,9,Egyptian dynasty,43,Ancient Egypt
http://www.wikidata.org/entity/Q212728,Third Intermediate Period of Egypt,-1068-01-01T00:00:00Z,-0663-01-01T00:00:00Z,9,periodization,52,
http://www.wikidata.org/entity/Q42937,Trojan War,-1257-01-01T00:00:00Z,-1179-01-01T00:00:00Z,9,military operation,106,
http://www.wikidata.org/entity/Q42937,Trojan War,-1257-01-01T00:00:00Z,-1179-01-01T00:00:00Z,9,mythical war,106,
http://www.wikidata.org/entity/Q26752,Phoenician script,-1199-01-01T00:00:00Z,-0149-01-01T00:00:00Z,9,abjad,93,Phoenicia
http://www.wikidata.org/entity/Q26752,Phoenician script,-1199-01-01T00:00:00Z,-0149-01-01T00:00:00Z,9,unicase alphabet,93,Phoenicia
http://www.wikidata.org/entity/Q26752,Phoenician script,-1199-01-01T00:00:00Z,-0149-01-01T00:00:00Z,9,Semitic abjad,93,Phoenicia
http://www.wikidata.org/entity/Q26752,Phoenician script,-1199-01-01T00:00:00Z,-0149-01-01T00:00:00Z,9,natural writing system,93,Phoenicia
http://www.wikidata.org/entity/Q202165,Hallstatt culture,-1199-01-01T00:00:00Z,-0450-01-01T00:00:00Z,9,archaeological culture,53,
http://www.wikidata.org/entity/Q223998,Urnfield culture,-1199-01-01T00:00:00Z,-0799-01-01T00:00:00Z,9,archaeological culture,45,
http://www.wikidata.org/entity/Q486761,classical antiquity,-1198-01-01T00:00:00Z,0500-01-01T00:00:00Z,9,style,91,
http://www.wikidata.org/entity/Q486761,classical antiquity,-1198-01-01T00:00:00Z,0500-01-01T00:00:00Z,9,historical period,91,
http://www.wikidata.org/entity/Q1059758,Bronze Age collapse,-1199-01-01T00:00:00Z,-1149-01-01T00:00:00Z,9,societal collapse,43,
http://www.wikidata.org/entity/Q2525293,Painted Grey Ware culture,-1199-01-01T00:00:00Z,-0599-01-01T00:00:00Z,9,archaeological culture,24,
http://www.wikidata.org/entity/Q737695,Sixteenth Dynasty of Egypt,-1649-01-01T00:00:00Z,-1579-01-01T00:00:00Z,9,Egyptian dynasty,40,Ancient Egypt
http://www.wikidata.org/entity/Q15631010,Abydos Dynasty,-1649-01-01T00:00:00Z,-1599-01-01T00:00:00Z,9,dynasty,19,Ancient Egypt
http://www.wikidata.org/entity/Q29223,Theban Necropolis,-1549-01-01T00:00:00Z,-1069-01-01T00:00:00Z,9,Ancient Egyptian necropolis,42,Egypt
http://www.wikidata.org/entity/Q146055,Eighteenth Dynasty of Egypt,-1549-01-01T00:00:00Z,-1294-01-01T00:00:00Z,9,Egyptian dynasty,58,Ancient Egypt
http://www.wikidata.org/entity/Q180568,Egyptian Empire,-1549-01-01T00:00:00Z,-1069-01-01T00:00:00Z,9,historical period,74,Ancient Egypt
http://www.wikidata.org/entity/Q185047,Spring and Autumn period,-0770-01-01T00:00:00Z,-0475-01-01T00:00:00Z,9,historical period,68,
http://www.wikidata.org/entity/Q260386,Valley of the Queens,-1294-01-01T00:00:00Z,-1069-01-01T00:00:00Z,9,wadi,46,Egypt
http://www.wikidata.org/entity/Q260386,Valley of the Queens,-1294-01-01T00:00:00Z,-1069-01-01T00:00:00Z,9,necropolis,46,Egypt
http://www.wikidata.org/entity/Q260386,Valley of the Queens,-1294-01-01T00:00:00Z,-1069-01-01T00:00:00Z,9,archaeological site,46,Egypt
http://www.wikidata.org/entity/Q621917,Late Period of ancient Egypt,-0663-01-01T00:00:00Z,-0331-01-01T00:00:00Z,9,periodization,52,Ancient Egypt
http://www.wikidata.org/entity/Q5555632,First Messenian War,-0742-01-01T00:00:00Z,-0723-01-01T00:00:00Z,9,war,24,Sparta
http://www.wikidata.org/entity/Q5555632,First Messenian War,-0742-01-01T00:00:00Z,-0723-01-01T00:00:00Z,9,war,24,Messenia
http://www.wikidata.org/entity/Q127455,Ordos culture,-0599-01-01T00:00:00Z,-0199-01-01T00:00:00Z,9,archaeological culture,19,
http://www.wikidata.org/entity/Q175447,Babylonian captivity,-0596-03-10T00:00:00Z,-0537-01-01T00:00:00Z,11,historical period,60,Babylonia
