e,eLabel,start,end,sprec,kindLabel,sitelinks,whereLabel
http://www.wikidata.org/entity/Q596373,Pyrrhic War,-0279-01-01T00:00:00Z,-0274-01-01T00:00:00Z,9,series of wars,36,
http://www.wikidata.org/entity/Q1330607,Syrian Wars,-0273-01-01T00:00:00Z,-0167-01-01T00:00:00Z,9,series of wars,34,
http://www.wikidata.org/entity/Q6271,Second Punic War,-0217-01-01T00:00:00Z,-0200-01-01T00:00:00Z,9,war,75,Spain
http://www.wikidata.org/entity/Q75626,First Macedonian War,-0213-01-01T00:00:00Z,-0204-01-01T00:00:00Z,9,war,35,
http://www.wikidata.org/entity/Q75813,Macedonian Wars,-0213-01-01T00:00:00Z,-0147-01-01T00:00:00Z,9,series of wars,46,
http://www.wikidata.org/entity/Q533090,Siege of Syracuse,-0213-01-01T00:00:00Z,-0211-01-01T00:00:00Z,9,siege,23,Italy
http://www.wikidata.org/entity/Q815210,Siege of Saguntum,-0218-05-01T00:00:00Z,-0218-12-01T00:00:00Z,10,siege,27,Spain
http://www.wikidata.org/entity/Q1337302,Hannibal's crossing of the Alps,-0217-05-01T00:00:00Z,-0217-09-01T00:00:00Z,10,military operation,18,
http://www.wikidata.org/entity/Q2422375,Roman conquest of Hispania,-0217-01-01T00:00:00Z,-0018-01-01T00:00:00Z,9,conquest,23,Spain
http://www.wikidata.org/entity/Q2422375,Roman conquest of Hispania,-0217-01-01T00:00:00Z,-0018-01-01T00:00:00Z,9,conquest,23,Portugal
http://www.wikidata.org/entity/Q6286,First Punic War,-0263-01-01T00:00:00Z,-0240-01-01T00:00:00Z,9,war,63,
http://www.wikidata.org/entity/Q124988,Punic Wars,-0263-01-01T00:00:00Z,-0145-01-01T00:00:00Z,9,series of wars,83,
http://www.wikidata.org/entity/Q1076902,Chremonidean War,-0266-01-01T00:00:00Z,-0260-01-01T00:00:00Z,9,war,24,Greece
