e,eLabel,time,prec,kindLabel,sitelinks,whereLabel
http://www.wikidata.org/entity/Q1620369,896 BC,-0895-01-01T00:00:00Z,9,year BC,31,
http://www.wikidata.org/entity/Q1636422,910 BC,-0909-01-01T00:00:00Z,9,year BC,32,
http://www.wikidata.org/entity/Q1636534,906 BC,-0905-01-01T00:00:00Z,9,year BC,30,
http://www.wikidata.org/entity/Q1636556,907 BC,-0906-01-01T00:00:00Z,9,year BC,29,
http://www.wikidata.org/entity/Q1650673,903 BC,-0902-01-01T00:00:00Z,9,year BC,30,
http://www.wikidata.org/entity/Q1650682,902 BC,-0901-01-01T00:00:00Z,9,year BC,29,
http://www.wikidata.org/entity/Q1650690,905 BC,-0904-01-01T00:00:00Z,9,year BC,29,
http://www.wikidata.org/entity/Q30172,789 BC,-0788-01-01T00:00:00Z,9,year BC,39,
http://www.wikidata.org/entity/Q609557,804 BC,-0803-01-01T00:00:00Z,9,year BC,37,
http://www.wikidata.org/entity/Q663706,817 BC,-0816-01-01T00:00:00Z,9,year BC,34,
http://www.wikidata.org/entity/Q763703,784 BC,-0783-01-01T00:00:00Z,9,year BC,38,
http://www.wikidata.org/entity/Q1059210,814 BC,-0813-01-01T00:00:00Z,9,year BC,42,
http://www.wikidata.org/entity/Q1065658,805 BC,-0804-01-01T00:00:00Z,9,year BC,36,
http://www.wikidata.org/entity/Q1086583,787 BC,-0786-01-01T00:00:00Z,9,year BC,39,
http://www.wikidata.org/entity/Q1450277,818 BC,-0817-01-01T00:00:00Z,9,year BC,31,
http://www.wikidata.org/entity/Q1450687,796 BC,-0795-01-01T00:00:00Z,9,year BC,36,
http://www.wikidata.org/entity/Q1616297,815 BC,-0814-01-01T00:00:00Z,9,year BC,32,
http://www.wikidata.org/entity/Q1620637,803 BC,-0802-01-01T00:00:00Z,9,year BC,32,
http://www.wikidata.org/entity/Q1636383,813 BC,-0812-01-01T00:00:00Z,9,year BC,29,
http://www.wikidata.org/entity/Q1636405,785 BC,-0784-01-01T00:00:00Z,9,year BC,40,
http://www.wikidata.org/entity/Q1636456,811 BC,-0810-01-01T00:00:00Z,9,year BC,31,
http://www.wikidata.org/entity/Q1640454,806 BC,-0805-01-01T00:00:00Z,9,year BC,30,
http://www.wikidata.org/entity/Q1640462,808 BC,-0807-01-01T00:00:00Z,9,year BC,31,
http://www.wikidata.org/entity/Q1640473,809 BC,-0808-01-01T00:00:00Z,9,year BC,30,
http://www.wikidata.org/entity/Q1641037,816 BC,-0815-01-01T00:00:00Z,9,year BC,31,
http://www.wikidata.org/entity/Q1648586,812 BC,-0811-01-01T00:00:00Z,9,year BC,28,
http://www.wikidata.org/entity/Q3184561,802 BC,-0801-01-01T00:00:00Z,9,year BC,29,
http://www.wikidata.org/entity/Q250782,629 BC,-0628-01-01T00:00:00Z,9,year BC,46,
http://www.wikidata.org/entity/Q250959,630 BC,-0629-01-01T00:00:00Z,9,year BC,53,
http://www.wikidata.org/entity/Q251164,631 BC,-0630-01-01T00:00:00Z,9,year BC,49,
http://www.wikidata.org/entity/Q251233,632 BC,-0631-01-01T00:00:00Z,9,year BC,52,
http://www.wikidata.org/entity/Q661411,637 BC,-0636-01-01T00:00:00Z,9,year BC,50,
http://www.wikidata.org/entity/Q715997,638 BC,-0637-01-01T00:00:00Z,9,year BC,52,
http://www.wikidata.org/entity/Q716969,636 BC,-0635-01-01T00:00:00Z,9,year BC,48,
http://www.wikidata.org/entity/Q717943,639 BC,-0638-01-01T00:00:00Z,9,year BC,52,
http://www.wikidata.org/entity/Q719129,634 BC,-0633-01-01T00:00:00Z,9,year BC,48,
http://www.wikidata.org/entity/Q719779,635 BC,-0634-01-01T00:00:00Z,9,year BC,48,
http://www.wikidata.org/entity/Q719910,633 BC,-0632-01-01T00:00:00Z,9,year BC,50,
http://www.wikidata.org/entity/Q844639,Battle of Djahy,-1177-01-01T00:00:00Z,9,battle,16,
http://www.wikidata.org/entity/Q1036947,Battle of the Delta,-1177-01-01T00:00:00Z,9,naval battle,19,Egypt
http://www.wikidata.org/entity/Q1059308,640 BC,-0639-01-01T00:00:00Z,9,year BC,56,
http://www.wikidata.org/entity/Q1059311,641 BC,-0640-01-01T00:00:00Z,9,year BC,49,
http://www.wikidata.org/entity/Q2313318,Battle of Chengpu,-0631-01-01T00:00:00Z,9,battle,17,
http://www.wikidata.org/entity/Q1779404,1184 BC,-1183-01-01T00:00:00Z,9,year BC,20,
http://www.wikidata.org/entity/Q27633,1000 BC,-0999-01-01T00:00:00Z,9,year BC,49,
http://www.wikidata.org/entity/Q28010,1001 BC,-1000-01-01T00:00:00Z,9,year BC,16,
http://www.wikidata.org/entity/Q249144,618 BC,-0617-01-01T00:00:00Z,9,year BC,47,
http://www.wikidata.org/entity/Q303579,994 BC,-0993-01-01T00:00:00Z,9,year BC,31,
http://www.wikidata.org/entity/Q658136,995 BC,-0994-01-01T00:00:00Z,9,year BC,28,
http://www.wikidata.org/entity/Q2467869,996 BC,-0995-01-01T00:00:00Z,9,year BC,27,
http://www.wikidata.org/entity/Q2550150,1005 BC,-1004-01-01T00:00:00Z,9,year BC,14,
http://www.wikidata.org/entity/Q2736353,1003 BC,-1002-01-01T00:00:00Z,9,year BC,14,
http://www.wikidata.org/entity/Q2997674,1004 BC,-1003-01-01T00:00:00Z,9,year BC,19,
http://www.wikidata.org/entity/Q3248288,998 BC,-0997-01-01T00:00:00Z,9,year BC,26,
http://www.wikidata.org/entity/Q3248342,997 BC,-0996-01-01T00:00:00Z,9,year BC,25,
http://www.wikidata.org/entity/Q3248410,999 BC,-0998-01-01T00:00:00Z,9,year BC,29,
http://www.wikidata.org/entity/Q3344135,1010 BC,-1009-01-01T00:00:00Z,9,year BC,14,
http://www.wikidata.org/entity/Q3348163,1009 BC,-1008-01-01T00:00:00Z,9,year BC,14,
http://www.wikidata.org/entity/Q174361,Book of the Dead,-1274-01-01T00:00:00Z,9,religious text,61,
http://www.wikidata.org/entity/Q174361,Book of the Dead,-1274-01-01T00:00:00Z,9,ancient Egyptian funerary texts,61,
http://www.wikidata.org/entity/Q174361,Book of the Dead,-1274-01-01T00:00:00Z,9,text witness,61,
http://www.wikidata.org/entity/Q3319710,1400 BC,-1399-01-01T00:00:00Z,9,year BC,14,
http://www.wikidata.org/entity/Q493863,776 BC,-0775-01-01T00:00:00Z,9,year BC,55,
http://www.wikidata.org/entity/Q548033,773 BC,-0772-01-01T00:00:00Z,9,year BC,39,
http://www.wikidata.org/entity/Q605847,790 BC,-0789-01-01T00:00:00Z,9,year BC,38,
http://www.wikidata.org/entity/Q746640,767 BC,-0766-01-01T00:00:00Z,9,year BC,41,
http://www.wikidata.org/entity/Q1056093,782 BC,-0781-01-01T00:00:00Z,9,year BC,46,
http://www.wikidata.org/entity/Q1059203,800 BC,-0799-01-01T00:00:00Z,9,year BC,47,
http://www.wikidata.org/entity/Q1065538,765 BC,-0764-01-01T00:00:00Z,9,year BC,42,
http://www.wikidata.org/entity/Q1065577,783 BC,-0782-01-01T00:00:00Z,9,year BC,40,
http://www.wikidata.org/entity/Q1086604,777 BC,-0776-01-01T00:00:00Z,9,year BC,42,
http://www.wikidata.org/entity/Q1086662,778 BC,-0777-01-01T00:00:00Z,9,year BC,41,
http://www.wikidata.org/entity/Q1086673,769 BC,-0768-01-01T00:00:00Z,9,year BC,40,
http://www.wikidata.org/entity/Q1610032,794 BC,-0793-01-01T00:00:00Z,9,year BC,37,
http://www.wikidata.org/entity/Q1616309,791 BC,-0790-01-01T00:00:00Z,9,year BC,38,
http://www.wikidata.org/entity/Q1620380,797 BC,-0796-01-01T00:00:00Z,9,year BC,37,
http://www.wikidata.org/entity/Q1636463,795 BC,-0794-01-01T00:00:00Z,9,year BC,37,
