e,eLabel,time,prec,kindLabel,sitelinks,whereLabel
http://www.wikidata.org/entity/Q278579,Q278579,-0311-01-01T00:00:00Z,9,Roman aqueduct,29,Italy
http://www.wikidata.org/entity/Q540867,Roman Navy,-0310-01-01T00:00:00Z,9,navy,30,Ancient Rome
http://www.wikidata.org/entity/Q15699,León,-0028-01-01T00:00:00Z,9,municipality of Spain,105,Spain
http://www.wikidata.org/entity/Q204772,Achaea,-0026-01-01T00:00:00Z,9,Roman province,51,Ancient Rome
http://www.wikidata.org/entity/Q206443,Gallia Belgica,-0021-01-01T00:00:00Z,9,Roman province,53,Western Roman Empire
http://www.wikidata.org/entity/Q206443,Gallia Belgica,-0021-01-01T00:00:00Z,9,Roman province,53,Gallic Empire
http://www.wikidata.org/entity/Q206443,Gallia Belgica,-0021-01-01T00:00:00Z,9,Roman province,53,Ancient Rome
http://www.wikidata.org/entity/Q474998,Pula Arena,-0026-01-01T00:00:00Z,9,archaeological site,37,Croatia
http://www.wikidata.org/entity/Q474998,Pula Arena,-0026-01-01T00:00:00Z,9,Roman amphitheatre,37,Croatia
http://www.wikidata.org/entity/Q667124,Augustus of Prima Porta,-0019-01-01T00:00:00Z,9,statue,30,Vatican City
http://www.wikidata.org/entity/Q715376,Gallia Aquitania,-0026-01-01T00:00:00Z,9,Roman province,49,Ancient Rome
http://www.wikidata.org/entity/Q770847,Mausoleum of Augustus,-0027-01-01T00:00:00Z,9,archaeological site,40,Italy
http://www.wikidata.org/entity/Q770847,Mausoleum of Augustus,-0027-01-01T00:00:00Z,9,roman mausoleum,40,Italy
http://www.wikidata.org/entity/Q943637,Nicopolis,-0028-01-01T00:00:00Z,9,archaeological site,33,Greece
http://www.wikidata.org/entity/Q943637,Nicopolis,-0028-01-01T00:00:00Z,9,ancient city,33,Greece
http://www.wikidata.org/entity/Q943637,Nicopolis,-0028-01-01T00:00:00Z,9,group of structures or buildings,33,Greece
http://www.wikidata.org/entity/Q1133288,Temple of Caesar,-0028-08-16T00:00:00Z,11,temple,31,Italy
http://www.wikidata.org/entity/Q1133288,Temple of Caesar,-0028-08-16T00:00:00Z,11,Roman temple,31,Italy
http://www.wikidata.org/entity/Q1241207,Porticus Octaviae,-0026-01-01T00:00:00Z,9,archaeological site,27,Italy
http://www.wikidata.org/entity/Q1249412,Galatia,-0024-01-01T00:00:00Z,9,Roman province,26,Ancient Rome
http://www.wikidata.org/entity/Q587085,Ilorin,0018-01-01T00:00:00Z,9,city,54,Nigeria
http://www.wikidata.org/entity/Q587085,Ilorin,0018-01-01T00:00:00Z,9,big city,54,Nigeria
http://www.wikidata.org/entity/Q1023721,Lafia,0017-01-01T00:00:00Z,9,city,38,Nigeria
http://www.wikidata.org/entity/Q1023721,Lafia,0017-01-01T00:00:00Z,9,town,38,Nigeria
http://www.wikidata.org/entity/Q1023721,Lafia,0017-01-01T00:00:00Z,9,local government area of Nigeria,38,Nigeria
http://www.wikidata.org/entity/Q665,Lugdunum,-0042-01-01T00:00:00Z,9,Roman colony,32,Gaul
http://www.wikidata.org/entity/Q665,Lugdunum,-0042-01-01T00:00:00Z,9,Roman city,32,Gaul
http://www.wikidata.org/entity/Q28370,Goguryeo,-0036-01-01T00:00:00Z,9,historical country,65,Goguryeo
http://www.wikidata.org/entity/Q212079,Second Triumvirate,-0042-11-09T00:00:00Z,11,triumvirate,47,Ancient Rome
http://www.wikidata.org/entity/Q212079,Second Triumvirate,-0042-11-09T00:00:00Z,11,alliance,47,Ancient Rome
http://www.wikidata.org/entity/Q465762,Laocoön and His Sons,-0041-01-01T00:00:00Z,9,sculpture,47,Vatican City
http://www.wikidata.org/entity/Q465762,Laocoön and His Sons,-0041-01-01T00:00:00Z,9,group of sculptures,47,Vatican City
http://www.wikidata.org/entity/Q546203,Eclogues,-0040-01-01T00:00:00Z,9,literary work,37,
http://www.wikidata.org/entity/Q674439,Georgics,-0036-01-01T00:00:00Z,9,literary work,47,
http://www.wikidata.org/entity/Q1434251,Legio VI Victrix,-0040-01-01T00:00:00Z,9,Roman legion,25,Ancient Rome
http://www.wikidata.org/entity/Q794,Iran,-0549-01-01T00:00:00Z,9,country,376,Iran
http://www.wikidata.org/entity/Q794,Iran,-0549-01-01T00:00:00Z,9,sovereign state,376,Iran
http://www.wikidata.org/entity/Q794,Iran,-0549-01-01T00:00:00Z,9,successor state,376,Iran
http://www.wikidata.org/entity/Q2028,Verona,-0549-01-01T00:00:00Z,9,city,142,Italy
http://www.wikidata.org/entity/Q2028,Verona,-0549-01-01T00:00:00Z,9,urban area,142,Italy
http://www.wikidata.org/entity/Q2028,Verona,-0549-01-01T00:00:00Z,9,comune of Italy,142,Italy
http://www.wikidata.org/entity/Q2028,Verona,-0549-01-01T00:00:00Z,9,big city,142,Italy
http://www.wikidata.org/entity/Q2028,Verona,-0549-01-01T00:00:00Z,9,Italian city-state,142,Italy
http://www.wikidata.org/entity/Q208404,Kingdom of Armenia,-0552-01-01T00:00:00Z,9,Hellenistic kingdom,60,Turkey
http://www.wikidata.org/entity/Q208742,Peloponnesian League,-0549-01-01T00:00:00Z,9,koinon,44,
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,-0549-01-01T00:00:00Z,9,historical country,110,Medo-Persia
http://www.wikidata.org/entity/Q389688,Achaemenid Empire,-0549-01-01T00:00:00Z,9,historical period,110,Medo-Persia
http://www.wikidata.org/entity/Q623612,Ara Pacis,-0008-01-01T00:00:00Z,9,museum,41,Italy
http://www.wikidata.org/entity/Q623612,Ara Pacis,-0008-01-01T00:00:00Z,9,shrine,41,Italy
http://www.wikidata.org/entity/Q623612,Ara Pacis,-0008-01-01T00:00:00Z,9,archaeological site,41,Italy
http://www.wikidata.org/entity/Q623612,Ara Pacis,-0008-01-01T00:00:00Z,9,arula (altar),41,Italy
http://www.wikidata.org/entity/Q687168,Ise Jingū,-0003-01-01T00:00:00Z,9,Shinto shrine,44,Japan
http://www.wikidata.org/entity/Q687168,Ise Jingū,-0003-01-01T00:00:00Z,9,jingū,44,Japan
http://www.wikidata.org/entity/Q687168,Ise Jingū,-0003-01-01T00:00:00Z,9,Shikinai Supershrine,44,Japan
http://www.wikidata.org/entity/Q22889,Bath,0043-01-01T00:00:00Z,9,urban area,112,United Kingdom
http://www.wikidata.org/entity/Q22889,Bath,0043-01-01T00:00:00Z,9,unparished area,112,United Kingdom
http://www.wikidata.org/entity/Q22889,Bath,0043-01-01T00:00:00Z,9,city of United Kingdom,112,United Kingdom
http://www.wikidata.org/entity/Q28084,Gaya confederacy,0042-01-01T00:00:00Z,9,historical country,39,
http://www.wikidata.org/entity/Q185103,Roman Britain,0043-01-01T00:00:00Z,9,Roman province,62,Ancient Rome
http://www.wikidata.org/entity/Q198998,Coptic Orthodox Church,0042-01-01T00:00:00Z,9,Oriental Orthodox churches,79,Egypt
http://www.wikidata.org/entity/Q198998,Coptic Orthodox Church,0042-01-01T00:00:00Z,9,Christian denomination,79,Egypt
http://www.wikidata.org/entity/Q198998,Coptic Orthodox Church,0042-01-01T00:00:00Z,9,patriarchate,79,Egypt
http://www.wikidata.org/entity/Q1244742,Mauretania Tingitana,0040-01-01T00:00:00Z,9,Roman province,39,Morocco
http://www.wikidata.org/entity/Q1244742,Mauretania Tingitana,0040-01-01T00:00:00Z,9,Roman province,39,Roman Empire
http://www.wikidata.org/entity/Q1244742,Mauretania Tingitana,0040-01-01T00:00:00Z,9,Roman province,39,Ancient Rome
http://www.wikidata.org/entity/Q272968,Velia,-0537-01-01T00:00:00Z,9,polis,50,Italy
http://www.wikidata.org/entity/Q272968,Velia,-0537-01-01T00:00:00Z,9,Ancient Greek archaeological site,50,Italy
http://www.wikidata.org/entity/Q1344411,Phanagoria,-0542-01-01T00:00:00Z,9,archaeological site,36,Russia
http://www.wikidata.org/entity/Q332337,League of Corinth,-0336-01-01T00:00:00Z,9,koinon,44,
http://www.wikidata.org/entity/Q332337,League of Corinth,-0336-01-01T00:00:00Z,9,historical country,44,
http://www.wikidata.org/entity/Q1160664,Lyceum,-0334-01-01T00:00:00Z,9,school,43,Greece
http://www.wikidata.org/entity/Q1160664,Lyceum,-0334-01-01T00:00:00Z,9,gymnasium,43,Greece
http://www.wikidata.org/entity/Q1160664,Lyceum,-0334-01-01T00:00:00Z,9,archaeological site,43,Greece
http://www.wikidata.org/entity/Q33490,Cappadocia,0018-01-01T00:00:00Z,9,Roman province,26,Ancient Rome
